"Redirect to firecheckout after adding an item to the shopping cart","Redirectare la firecheckout după adăugare item la shopping cart"
"Register customer during Paypal Express checkout if prompted","Înregistrare client în timpul checkout-ului Paypal Express dacă este afişat"
"Ship to the same address","Livrare la aceeaşi adresă"
"Validate taxvat number","Validare TVA"
"Use online VIES validation","Foloseşte validare VIES online "
"Show Giftcard Field","Câmp card cadou"
"Works with Magento Enterprise/Pro Versions Only","Lucrează numai cu Magento Enterprise/Pro Versions"
"Address Form Fields Sort Order","Sortare câmpuri adresă"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Для размещения полей в одну строку - установите  порядок отобрадения в цепочки: 1,2 или 12,13 или 20,21</br> Для размещения в отдльные строки исользуйте порядок: 1,3 или 12,18 или 20,30"
"Invalid VAT number","TVA invalid"
"The VAT validation service unavailable. Please re-submit your request later.","Serviciul TVA indisponibil. Trimite solicitarea mai târziu."
"The provided CountryCode is invalid or the VAT number is empty","Provider-ul cod de ţară este invalid sau TVA-ul este invalid"
"The VAT validation service cannot process your request. Try again later.","Serviciul de validare TVA nu poate procesa cererea."
"Unknown VAT validation service message. Try again later.","Mesaj de validare VAT necunoscut."
"The provided CountryCode is invalid for the VAT number","Provider-ul cod de ţară este invalid pentru TVA"
"Delivery Date and Time","Data şi ora de livrare"
"Delivery Date","Data de livrare"
"Delivery Time","Ora de livrare"
"Display Mode","Mod de afişare"
"Use Calendar","Calendar"
"Exclude the Weekend Days","Excepţie weekend"
"Dates to Exclude","Excepţie data"
"Use Time Range","Interval de timp"
"Time Ranges","Intervale de timp"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Coletul nu poate fi expediat la data selectată. Te rog să selectezi altă dată de livrare"
"We cannot deliver the package at the selected time. Please select another time for the delivery","Coletul nu poate fi expediat la ora selectată. Te rog să selectezi altă oră de livrare"
"Show for All Shipping Methods","Toate metodele de livrare"
"Show for Specific Shipping Methods","Metode de livrare specifice"
"MM/DD/YYYY","ММ/DD/YYYY"
"Show product image","Imagine produs"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Adresă de e-mail deja existentă. Login cu o altă adresa de e-mail."
"3 columns","3 columns"
"2 columns","2 columns"
"Delivery will be available since order day plus this value","Delivery will be available since order day plus this value"
"Example: %s","Exemplu: %s"
"Use this field to enter shipping code, if you are not able to find it in previous selectbox.","Foloseşte acest câmp pentru a introduce codul de livrare, dacă este indisponibil în checkbox-ul anterior."
"Allow to edit shopping cart contents","Permisiune de editare continut shopoping cart"
"Move","Mută"
"Add newline","Adaugă linie nouă"
"Hide Other Shipping Methods if Free is Available","Hide Other Shipping Methods if Free is Available"
"Show product name as link","Show product name as link"
"Show product short description","Show product short description"
"Show Address Review Block","Show Address Review Block"
"Show address review block, inside checkout review section. Useful for EU countries","Show address review block, inside checkout review section. Useful for EU countries"
"Description Excerpt Length","Description Excerpt Length"
"Customer Comment","Customer Comment"
"Move","Mută"
"Add newline","Adaugă linie nouă"
"Switch to classic mode","Schimbă la modul clasic"
"Switch to drag&amp;drop mode","Switch to drag&amp;drop mode"
"Address verification","Verificare adresă"
"Address could not be verified. Please double check the address before submitting the order. If the address is correct, just place the order without making any changes to it.","Address could not be verified. Please double check the address before submitting the order. If the address is correct, just place the order without making any changes to it."
"Use entered address","Use entered address"
"Edit entered address","Edit entered address"
"Use verified address","Use verified address"
"Place order using selected option","Place order using selected option"
"Usps Address Verification (United States addresses only)","Usps Address Verification (United States addresses only)"
"Guest checkout is allowed (registration checkbox is checked)","Guest checkout este permisă (checkbox de înregistrare este verificată)"
"Ship to the same address checkbox is checked by default","Livrarea la aceeasi adresă este verificată implicit"
"Newsletter checkbox is checked by default","Checkbox-ul de newsletter este verificat implicit"
"Period in days when delivery will be available, since first available day","Perioada în zile de când livrarea va fi disponibilă până la ziua disponibilă"
"Invalid Form Key. Please refresh the page.","Cheie invalidă. Te rog să faci refresh la pagină."
"Additional content","Conţinut suplimentar"
"Above form","Above form"
"Below form","Below form"
"Below checkout review table","Below checkout review table"
"See the Postal Code configuration at System > Configuration > General > Countries Options","See the Postal Code configuration at System > Configuration > General > Countries Options"
"See the Region configuration at System > Configuration > General > States Options","See the Region configuration at System > Configuration > General > States Options"
"USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS","USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS"
"Fields to validate","Câmpuri de validat"
"Delivery processing day ends at","Procesul de livrare se finalizează la"
"This option is used to detect first available delivery day","Această opţiune este folosită pentru a identifica prima zi de livrare disponibilă"
"If you would like to use more accurate database, use the <a href='https://www.maxmind.com/en/download_files'>paid versions of the same files</a>","If you would like to use more accurate database, use the <a href='https://www.maxmind.com/en/download_files'>paid versions of the same files</a>"
"Agree text in popup window","Text acceptat în fereastra de popup"
"Ajax save and reload rules","Ajax save and reload rules"
"Save rules","Salvează regulile"
"Select the fields which should cause the ajax request to save the section.<br/><span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling.","Select the fields which should cause the ajax request to save the section.<br/><span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling."
"Section dependencies","Secţiunea de dependenţe"
"Payment methods depends on","Metodele de plată depind de"
"Default Values: None","Default Values: None"
"1. Add order total, if you are using min/max order total option to filter available payment methods<br/>2. Add billing address if you are using allowed countries option","1. Add order total, if you are using min/max order total option to filter available payment methods<br/>2. Add billing address if you are using allowed countries option"
"Shipping methods depends on","Shipping methods depends on"
"Default Values: Cart contents, Shipping Address","Valori implicite: conţinurturi cart, Adresa de livrare"
"1. Add order total, if you are using min/max order total option to filter available shipping methods<br/>2. Add coupon code, if you have coupons for shipping price","1. Add order total, if you are using min/max order total option to filter available shipping methods<br/>2. Add coupon code, if you have coupons for shipping price"
"Order total (Review) depends on","Order total (Review) depends on"
"Default Values: Shipping Method","Default Values: Shipping Method"
"1. Add the shipping address if you are using tax rate or discount for some addresses<br/>2. Add payment method, if you are using discount/fee for some of the payment methods","1. Add the shipping address if you are using tax rate or discount for some addresses<br/>2. Add payment method, if you are using discount/fee for some of the payment methods"
"Custom fields","Câmpuri custom"
"Cart contents (qty, weight)","Conţinuturi cart (qty, weight)"
"Use this field to enter shipping code, if you are not able to find it in previous selectbox.","Foloseşte acest câmp pentru a introduce codul de livrare, dacă este indisponibil în checkbox-ul anterior."
"Login into your Account","Loghează-te în cont."
"Please wait...","În proces de actualizare..."
"Shipping Method","Metodă de livrare"
"Please agree to all the terms and conditions before placing the order.","Te rog să accepţi termenii şi condiţiile YMALL înainte de a plasa comanda."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Comanda nu poate fi finalizată în acest moment deoarece nu ai selectat o metodă de livrare. Te rog sa editezi modificările necesare în adresa de livrare."
"Please specify shipping method.","Te rog să specifici metoda de livrare"
   
